#Version 6.4.1.1 ,,,,,,,,,,,,,,,,
#New best, Iteration, Feasible,Objective,Req 1,Req 2,[bienAtendidos1],[bienAtendidos2],[malAtendidos1],[malAtendidos2],[mu1],[mu2],[mu3],,,,
#, , , ,,,,,,,discrete (35 85 1), discrete (90 130 1), discrete (100 135 1),Media1,STD1,Media2,STD2
,44,,11585,0.960888013,0.988257537,295,888,12,10.33333333,43,98,120,0.882595869,0.149427719,0.892170922,0.159379734
*,45,,11475,0.98779594,0.959195924,307.3333333,878.3333333,3.666666667,38,37,90,126,0.884933649,0.14855002,0.893660367,0.157874677
,46,infeas,11445,0.886922494,0.962942651,270.6666667,879,36.33333333,34.66666667,35,90,127,0.884976885,0.146890484,0.895166503,0.156444515
*,47,,11460,0.959385926,0.997849462,292,897.6666667,12.33333333,2,35,93,126,0.886560056,0.145689929,0.897351247,0.155457903
,48,infeas,11510,0.921870676,0.98093342,269.3333333,884,23,17,35,95,126,0.887295694,0.144221786,0.899092543,0.154267644
,49,infeas,11410,0.74770554,0.790248593,216.6666667,713,75.66666667,191.3333333,51,115,104,0.884446915,0.144098068,0.896871237,0.153442104
,50,infeas,10950,0.749600775,0.671839027,226.3333333,591.6666667,75,290.6666667,54,96,102,0.881749992,0.143889411,0.892370593,0.155166909
,51,infeas,12085,0.948315712,1,282.3333333,875,15.33333333,0,39,118,123,0.883055202,0.142747896,0.894480974,0.154344981
,52,infeas,11565,0.925156511,0.972231365,285.3333333,889.3333333,23,25.33333333,35,90,129,0.883864843,0.14146201,0.895976174,0.153204178
,53,infeas,11600,0.939634775,1,298.6666667,909,19.33333333,0,39,101,122,0.884917106,0.140304485,0.897938887,0.152395255
*,54,,11310,0.952440304,0.918327306,278.3333333,826.3333333,14.66666667,76.33333333,46,96,114,0.886167535,0.139277995,0.898316451,0.150976214
,55,infeas,11210,0.834889485,0.814725475,251.6666667,734.3333333,51.33333333,166.3333333,47,95,112,0.885235207,0.138155488,0.896796615,0.149995847
,56,,11510,0.986395984,0.98481999,300,878.3333333,4.333333333,13.66666667,47,95,117,0.88704165,0.137559604,0.898368461,0.149090727
,57,infeas,11610,0.947883198,0.95372852,272.6666667,837.3333333,15.33333333,41.33333333,53,117,105,0.888109045,0.13656384,0.89933969,0.147935401
,58,infeas,11375,0.886452473,0.899123991,260,785,33.66666667,87,54,113,102,0.888080484,0.135360785,0.899335971,0.146631983
,59,infeas,11385,0.76232144,0.723329174,236.6666667,629.6666667,71.66666667,242.3333333,57,108,102,0.885948974,0.135183923,0.896352805,0.147157365
*,60,,11160,0.978812822,0.983388704,304,867.6666667,6.666666667,15,39,105,113,0.887496705,0.134568498,0.897803403,0.146336958
,61,infeas,11025,0.782525997,0.839714536,245.3333333,755,68.66666667,149.6666667,39,102,112,0.885775874,0.134117509,0.896851127,0.145302834
,62,infeas,11570,0.923324005,0.955005935,271.6666667,832.3333333,22.66666667,40.66666667,47,107,113,0.886381489,0.133099093,0.897789107,0.144296044
,63,infeas,11190,0.944919306,0.903145534,284.6666667,772.3333333,16.33333333,83.66666667,58,96,103,0.887310661,0.132227186,0.89787413,0.143129227
,64,,11365,0.973195787,0.985603266,297.3333333,868.3333333,8.333333333,12.33333333,50,103,109,0.888652616,0.131612151,0.899244898,0.142411578
,65,,12530,0.996855346,1,295.6666667,886,1,0,42,128,124,0.890317273,0.131267766,0.900794976,0.1418462
,66,,13940,1,0.983797718,310.6666667,898,0,15,84,92,131,0.891979133,0.130951929,0.902052594,0.141121176
,67,infeas,11185,0.906717834,0.893858424,281.6666667,814.6666667,28.66666667,99.66666667,39,106,113,0.892199113,0.129968557,0.901930293,0.140051574
,68,infeas,11085,0.732623341,0.760971991,223.6666667,710,81.66666667,224,39,102,113,0.889852411,0.130438437,0.899857376,0.140049581
,69,infeas,11100,0.924226391,0.972918572,280,852.3333333,23,23.66666667,39,105,112,0.890350584,0.12954189,0.900916234,0.139293959
,70,,12265,0.981797497,1,289,894,5.333333333,0,39,130,121,0.891656969,0.129063402,0.902331717,0.138787097
,71,infeas,11380,0.771385072,0.799012563,234,716.6666667,73.33333333,187,45,103,113,0.889962998,0.128930743,0.900876517,0.138336687
,72,infeas,11200,0.889373057,0.894728119,274.6666667,802,34,95.33333333,41,103,113,0.889954805,0.128019579,0.900791123,0.137360941
,73,infeas,10990,0.829495528,0.87521017,250.6666667,807,53.66666667,114.6666667,42,100,110,0.889126596,0.127324234,0.900440699,0.136436565
,74,infeas,11000,0.921625608,0.946062906,290.6666667,849.6666667,25.33333333,47.66666667,39,101,112,0.889565771,0.126505567,0.901057215,0.135602596
,75,infeas,11180,0.907120542,0.948110947,268.3333333,868.3333333,27,48.33333333,43,101,112,0.889799835,0.125664242,0.901684598,0.134792794
,76,infeas,11295,0.82417952,0.786712811,243.6666667,706.6666667,52,193,55,96,107,0.88893641,0.125050416,0.900171812,0.134539104
,77,infeas,11190,0.730736715,0.723807889,224.3333333,624,82,239.6666667,54,96,106,0.886881868,0.125526397,0.897881371,0.135153815
,78,infeas,11250,0.945739469,0.933184746,289.3333333,830,17,59.33333333,46,96,113,0.887636453,0.124886567,0.898333978,0.134332811
,79,infeas,11205,0.892472199,0.87899017,276.3333333,769.6666667,33.66666667,108.3333333,46,99,111,0.887697665,0.124084623,0.89808912,0.133486668
,80,infeas,11820,0.905969562,0.99586155,271.6666667,880.3333333,27.33333333,3.666666667,35,129,117,0.887926064,0.123313698,0.899311275,0.133088808
,81,infeas,12500,0.836739287,0.795859718,246.3333333,701,49,178.3333333,85,107,100,0.887294128,0.122672477,0.898034096,0.132752963
,82,infeas,11135,0.926725205,0.943825913,291,819,23.66666667,47.33333333,39,104,113,0.887774995,0.121990628,0.898592533,0.132027833
,83,infeas,12145,0.866479097,0.944449558,258.6666667,857.3333333,41,52,39,130,119,0.887518418,0.121267032,0.899145027,0.131316819
,84,infeas,11075,0.943718429,0.974167577,274.6666667,865.3333333,16.66666667,22.66666667,39,104,112,0.888187466,0.120690167,0.900038152,0.130779781
*,85,,11045,0.989013197,0.985485413,296.6666667,866,3.333333333,12.66666667,40,101,112,0.889373651,0.120467043,0.901043414,0.130328956
,86,infeas,11090,0.867162027,0.897380258,258.3333333,802,40.66666667,92.33333333,41,101,112,0.889115376,0.119780266,0.901000819,0.129560649
,87,infeas,11030,0.82733913,0.865075749,258.6666667,775.6666667,55,123,41,101,111,0.888405304,0.119265873,0.900587888,0.12886276
,88,infeas,10945,0.807720058,0.873732511,236.6666667,807,59,117.6666667,41,100,110,0.887488426,0.118889985,0.900282713,0.128152009
,89,infeas,11095,0.903905445,0.972423523,278,877,29.66666667,25,40,103,112,0.887672887,0.118225352,0.901093284,0.127651041
,90,infeas,10915,0.628431948,0.676548868,182,582.6666667,117.6666667,272.3333333,37,130,100,0.884792432,0.120693488,0.898598346,0.129119809
,91,infeas,12675,0.444615414,0.445654352,130.3333333,391.3333333,163.3333333,467.3333333,85,114,100,0.879955322,0.128585567,0.893620939,0.136898385
,92,infeas,11545,0.94618192,1,283.6666667,886.3333333,16,0,35,106,122,0.880675177,0.12806337,0.894777233,0.136595119
,93,infeas,11070,0.829242866,0.868277975,254,784,52.66666667,120,40,102,112,0.880122141,0.127477085,0.894492295,0.135878513
,94,infeas,11005,0.935197114,0.971839782,274.6666667,882,18.66666667,26,41,100,111,0.880708045,0.126917061,0.895315141,0.135381272
,95,,11115,0.955550706,0.944551942,284.6666667,839.3333333,13,49,41,102,112,0.881495862,0.126473482,0.895833423,0.134753952
,96,infeas,10825,0.577552206,0.592520188,168.6666667,496,121.3333333,358.6666667,35,130,100,0.878329783,0.129574215,0.89267391,0.137571095
,97,infeas,12315,0.778697643,0.662686763,232.3333333,573.6666667,69.66666667,308,85,90,104,0.877302647,0.129293939,0.890302909,0.138830697
,98,infeas,11130,0.91576682,0.928315787,282.3333333,823,26.33333333,63.66666667,40,102,113,0.877695139,0.12868442,0.890690795,0.138166589
,99,infeas,10985,0.827646757,0.885074387,267.3333333,788,53.66666667,103.3333333,40,101,111,0.8771896,0.128124959,0.890634064,0.137461009
,100,,11065,0.957432507,0.980544718,285.3333333,914,13,18.33333333,41,100,112,0.877992029,0.127728525,0.89153317,0.137060222
,101,,11245,0.959634769,0.997747748,291,880.6666667,12.33333333,2,35,106,117,0.878800373,0.127347657,0.8925848,0.136782118
,102,infeas,11045,0.847770549,0.925517986,262.6666667,830.6666667,47.66666667,67,39,110,109,0.878496159,0.126752897,0.892907674,0.136142352
,103,infeas,11125,0.863943869,0.892399339,266.3333333,794.6666667,43,97,40,109,110,0.878354874,0.126138179,0.892902739,0.135473353
,104,infeas,10670,0.483685416,0.516302011,141,441,154,414.3333333,38,116,101,0.874559976,0.13135485,0.889281578,0.139780458
,105,infeas,10665,0.543158134,0.605628244,165,528.3333333,135.6666667,355.3333333,37,120,100,0.871403768,0.134663154,0.886580118,0.141834353
,106,infeas,10990,0.878435862,0.938952475,262.3333333,838.6666667,37.66666667,54.66666667,40,106,109,0.871470108,0.134022107,0.887074196,0.141248963
,107,infeas,11230,0.735202894,0.801871288,219.6666667,689.6666667,81,168.6666667,44,130,100,0.870196583,0.134037356,0.886277908,0.140822214
,108,infeas,12135,0.783614165,0.668852151,244.3333333,576,67,281.6666667,85,90,101,0.869394894,0.133669437,0.884264706,0.141715498
,109,infeas,11020,0.916085522,0.926618956,279.3333333,830,26,66,40,100,112,0.869823248,0.133124297,0.884653277,0.141116206
,110,,11140,0.959608304,0.959489445,303.3333333,859,13,36.66666667,40,100,114,0.870639476,0.132788462,0.885333606,0.140648504
,111,infeas,11000,0.867759538,0.907546296,269.3333333,810.6666667,40.66666667,83,40,104,110,0.870613531,0.132183783,0.88553372,0.140023606
,112,,11190,0.980785788,0.983967678,296.6666667,867.3333333,5.666666667,14.33333333,40,90,119,0.871597211,0.131998168,0.886412595,0.139701415
,113,infeas,10920,0.889181078,0.912895327,259.6666667,831,33.66666667,78.33333333,39,105,109,0.871752821,0.13141798,0.886646955,0.139098661
,114,infeas,10910,0.698654253,0.796004101,218.3333333,706,95.66666667,183,39,107,108,0.870234412,0.131835814,0.885851843,0.138741788
,115,infeas,10875,0.920322946,0.961333791,283,835.6666667,24.33333333,34,39,108,107,0.870669965,0.131339392,0.886508207,0.138311149
,116,infeas,10835,0.858376999,0.926556856,250.6666667,822,41,65,40,107,106,0.870563991,0.130772086,0.886853454,0.137758677
,117,infeas,10640,0.80580011,0.848705554,246.6666667,733,59,127.6666667,37,119,100,0.870010454,0.130344782,0.886527404,0.137208937
,118,infeas,10570,0.648709925,0.730306749,195.6666667,630,105.3333333,235,38,112,101,0.868135025,0.131375736,0.8852035,0.137376145
,119,infeas,10705,0.824132678,0.881226023,246.6666667,774,53.66666667,103,38,115,102,0.867765258,0.130880048,0.885170076,0.13679329
,120,infeas,10900,0.700304362,0.781907004,208.6666667,698,88,194.6666667,39,109,107,0.86636975,0.131222459,0.88430955,0.136543098
,121,infeas,10980,0.382878621,0.443624656,115,379.6666667,184.3333333,469.6666667,39,129,100,0.862373956,0.137868671,0.880667526,0.141752022
,122,infeas,12305,0.629233645,0.580547109,187,490.3333333,108.6666667,353,84,101,100,0.86046297,0.138910796,0.878207523,0.143756286
,123,infeas,10975,0.903522256,0.981756711,275.3333333,866,29,16.33333333,40,103,110,0.860813045,0.138394789,0.879049386,0.143470038
,124,infeas,10970,0.930999001,0.942442601,286.6666667,806,22.33333333,51.66666667,40,98,112,0.861379061,0.137975098,0.879560622,0.142998999
,125,infeas,11005,0.873230473,0.869216026,270.6666667,770.6666667,39.66666667,119.3333333,40,97,113,0.861473872,0.137421709,0.879477865,0.142424229
,126,infeas,10960,0.786886097,0.893912804,236.3333333,798,64,95.66666667,39,109,108,0.860881906,0.137032119,0.879592428,0.141859217
,127,infeas,10745,0.772959521,0.763728653,238,664,73.33333333,203.3333333,40,101,107,0.860189603,0.13671006,0.878680115,0.141668722
,128,infeas,11200,0.937633763,0.998509527,281,892,19.33333333,1.333333333,39,109,112,0.860794636,0.136342708,0.879616282,0.141506804
,129,,11235,0.960313355,0.924209263,290,837.6666667,12.66666667,68.66666667,41,90,119,0.861566099,0.13609144,0.879961964,0.14100763
,130,infeas,10905,0.91863367,0.955315315,278.6666667,851.6666667,26,41.33333333,39,102,110,0.86200508,0.135655294,0.880541605,0.140615421
,131,infeas,10785,0.891571344,0.889864289,281.6666667,787,34,98.33333333,39,102,108,0.862230777,0.135157224,0.880612771,0.140075916
,132,infeas,11055,0.798493979,0.837579307,262,717.3333333,67,138.6666667,39,108,110,0.861747922,0.134754608,0.88028676,0.139590512
,133,infeas,10840,0.76897091,0.906777122,238,822.6666667,71.33333333,83.66666667,39,109,106,0.861050351,0.134484038,0.880485935,0.139079725
,134,infeas,10780,0.839058529,0.87376448,258,770,49.66666667,113.3333333,39,109,105,0.860886233,0.133990974,0.880435775,0.138557099
,135,infeas,10845,0.651066624,0.700130231,181.6666667,603.3333333,108,261.3333333,39,114,104,0.859332013,0.134705994,0.879100179,0.13890866
,136,infeas,10680,0.483978252,0.582713518,148,506.3333333,160.6666667,362.6666667,38,114,102,0.856572059,0.13801178,0.876920865,0.140707515
,137,infeas,10755,0.52415074,0.730822087,163.3333333,627.6666667,147.3333333,236,38,117,102,0.854145626,0.140405826,0.875854451,0.140743841
,138,infeas,10725,0.61263388,0.75084268,193,653.3333333,125.3333333,214,38,111,104,0.852395541,0.14139507,0.874948568,0.140632446
,139,infeas,10800,0.629905655,0.820350383,196,696.6666667,120.3333333,152,35,129,100,0.850794895,0.142140142,0.874555776,0.140198486
,140,infeas,12400,0.546493325,0.518394736,170.3333333,447,138,418,85,103,100,0.848621312,0.143944063,0.872011768,0.142899561
,141,infeas,11035,0.944231788,0.932199732,287.6666667,824.3333333,17,60,40,103,111,0.8492994,0.143654886,0.872438633,0.14247848
,142,infeas,11090,0.933890652,0.994898224,285,899.3333333,21,4.666666667,40,98,114,0.849895113,0.143320476,0.873301025,0.142343785
*,143,,10995,0.964344796,0.97697257,300.3333333,869,11,20.66666667,40,99,112,0.850695461,0.143135268,0.874026,0.142106383
,144,infeas,10805,0.820825403,0.85325249,248.3333333,764,54.66666667,132.3333333,39,110,105,0.85048803,0.142655635,0.87388174,0.141619216
,145,infeas,10565,0.679451744,0.649233017,205,586.3333333,93.66666667,314,40,101,104,0.849308469,0.142867261,0.872332438,0.142354393
,146,,11205,0.960613574,0.998247459,292.6666667,915.6666667,12.66666667,1.666666667,38,111,112,0.850070833,0.142671452,0.87319487,0.142244892
,147,,11400,0.954844729,0.953660382,284,871.3333333,13.33333333,42.33333333,42,90,121,0.850783581,0.142444381,0.873742254,0.141912186
,148,infeas,10965,0.87741749,0.921595984,267.3333333,815.6666667,37.66666667,72.33333333,40,105,109,0.850963539,0.14197593,0.87406559,0.141483359
,149,infeas,10930,0.860116286,0.883527327,259,791.3333333,43.33333333,105.6666667,39,103,110,0.851024967,0.141497456,0.874129092,0.141006695
,150,infeas,11015,0.757315828,0.811499776,230,716,74.66666667,170,40,107,109,0.85040024,0.141229246,0.873711563,0.140625728
,151,infeas,10715,0.731370211,0.799829586,219.6666667,719,79.33333333,180.6666667,38,113,103,0.849611961,0.1410906,0.873222279,0.140285093
,152,infeas,10690,0.745614503,0.814444324,214.6666667,717.3333333,75.33333333,164.3333333,38,112,103,0.848927768,0.140875407,0.872835582,0.139901058
,153,infeas,10790,0.899546107,0.96643253,261.6666667,840.3333333,29.33333333,29.33333333,38,116,103,0.849258606,0.140470858,0.873447326,0.139645259
,154,infeas,10740,0.495181606,0.563555608,151.6666667,489,156.3333333,395.6666667,38,114,103,0.846959405,0.142888728,0.871435042,0.14141051
,155,infeas,10830,0.814429115,0.860862946,233.6666667,764,53,123.3333333,39,111,105,0.846749532,0.142448013,0.871366835,0.140953195
,156,infeas,10775,0.390386383,0.410983453,116.3333333,358.3333333,179,508.3333333,35,128,100,0.843824127,0.146613679,0.86841566,0.145252525
,157,infeas,12090,0.740189941,0.697387608,222,599.3333333,79.66666667,263.3333333,84,90,101,0.843164037,0.146376866,0.867326309,0.145428196
,158,infeas,10950,0.90276807,0.930498453,277.6666667,847.3333333,29.66666667,64.33333333,40,102,110,0.843541278,0.145986983,0.867726133,0.145051399
,159,infeas,10980,0.880274117,0.940255921,268.3333333,830.6666667,37,54.66666667,40,96,113,0.843772302,0.14555342,0.868182295,0.144706012
,160,infeas,11000,0.906235342,0.918747579,259,832.6666667,27,75.66666667,40,92,115,0.844162696,0.145178991,0.868498328,0.144305624
,161,infeas,10925,0.934268081,0.988176964,291.6666667,865.6666667,21.33333333,10.33333333,39,110,107,0.844722357,0.144898713,0.869241674,0.144162842
,162,,11115,0.975827002,0.965831065,294.6666667,860,7.333333333,30.33333333,41,90,117,0.845531645,0.144814815,0.869837905,0.143914655
,163,infeas,10900,0.776055938,0.754368597,241.6666667,686.3333333,69.66666667,222,40,100,110,0.845105413,0.144469688,0.869129504,0.143754577
,164,infeas,10855,0.450328184,0.502230786,133.3333333,448.3333333,162.6666667,443,39,112,105,0.842698235,0.147287963,0.866892317,0.146148616
,165,infeas,10770,0.567000369,0.644929406,171.3333333,569,129,312.6666667,39,111,104,0.841027339,0.148398543,0.865547087,0.146723443
,166,infeas,10765,0.904864096,0.920712205,250.6666667,807,26,73,38,115,103,0.841411898,0.148031108,0.865879407,0.1463408
,167,infeas,10750,0.61856006,0.713027949,190.6666667,632.3333333,117.6666667,253.6666667,35,127,100,0.840077456,0.148588642,0.864964129,0.146378009
,168,infeas,12105,0.660662706,0.563520283,197.3333333,491.6666667,101.3333333,383,83,90,102,0.839009511,0.148788382,0.86316982,0.147780589
,169,infeas,10865,0.864164001,0.93609345,263.6666667,843.3333333,43,59,40,101,109,0.839158354,0.148357517,0.863601321,0.147446853
,170,infeas,11150,0.922698545,0.926882887,285.3333333,833.3333333,24,65.66666667,40,98,115,0.839649767,0.148056642,0.863973565,0.147090068
,171,,11055,0.99776472,0.995845656,289.6666667,876.3333333,0.666666667,3.666666667,41,90,116,0.840574415,0.148114903,0.864744747,0.147003122
,172,infeas,10775,0.912024246,0.974881328,275,865.6666667,26.66666667,23,38,113,104,0.840989821,0.147781638,0.865385076,0.146813037
,173,infeas,10890,0.848655794,0.918119496,250,816.3333333,47.66666667,72.66666667,40,102,109,0.841034133,0.147352567,0.865689899,0.146440527
,174,infeas,10800,0.840179062,0.906237923,245,782.6666667,46.33333333,85,38,114,104,0.841029219,0.146926089,0.865922934,0.146049028
,175,infeas,10635,0.45072827,0.485715117,129.6666667,446.6666667,169.6666667,454.3333333,39,108,103,0.838798928,0.149444624,0.863750318,0.148437786
,176,infeas,10745,0.817446937,0.897375219,247.6666667,780.6666667,55,88.33333333,39,110,104,0.83867761,0.149025719,0.863941368,0.14803477
,177,infeas,10790,0.839760324,0.875631658,250,756,50.33333333,106,39,107,106,0.838683727,0.14860177,0.864007415,0.147616232
,178,infeas,10850,0.717812677,0.778757154,220.6666667,686,90,196.6666667,39,107,107,0.838004676,0.148458088,0.863528481,0.147337269
,179,infeas,10725,0.657182242,0.863072949,192.6666667,732.6666667,104,116.6666667,35,126,100,0.836994495,0.14865614,0.863525936,0.146922821
,180,infeas,12195,0.83391002,0.711986194,237.6666667,631.3333333,50,252.3333333,85,90,102,0.836977359,0.148240496,0.862684049,0.146946592
,181,infeas,10915,0.940866765,0.881488585,276,789.3333333,17,105.3333333,41,94,112,0.837551334,0.148029693,0.862787941,0.146544504
,182,infeas,10860,0.859566494,0.8373153,252.3333333,749.3333333,41,146.6666667,39,105,108,0.837672296,0.147629224,0.862647982,0.146151322
,183,infeas,10650,0.733277169,0.812105832,215.6666667,752.6666667,78.33333333,178,39,99,107,0.837101831,0.147425209,0.862371795,0.145797134
,184,infeas,11195,0.907615972,0.970827475,281.3333333,865.6666667,29,26.33333333,40,107,112,0.83748506,0.147113729,0.862961228,0.145617905
,185,,11175,0.980966673,0.995141741,294.6666667,898.3333333,6,4.333333333,41,90,118,0.838260636,0.147092176,0.863675717,0.145546465
,186,infeas,10840,0.81941955,0.884307471,249.3333333,787,57,105.6666667,40,100,109,0.83815934,0.146700596,0.863786641,0.145160446
*,187,,10805,0.953093196,0.975491907,281.3333333,863.3333333,13.33333333,22,40,101,108,0.83877396,0.146546923,0.864383995,0.144999982
,188,infeas,10730,0.579899166,0.651367101,177.6666667,582.6666667,129,315,39,107,105,0.837396966,0.147369009,0.863250927,0.145443888
,189,infeas,10720,0.854314249,0.888911468,261,774.3333333,46.66666667,98,39,109,104,0.837486475,0.146981698,0.863386697,0.145068561
,190,infeas,10765,0.709567751,0.793995811,204,716.3333333,84,189,39,106,106,0.836813219,0.146885795,0.863021481,0.144771826
,191,infeas,10675,0.72133397,0.774146616,211.6666667,672.3333333,81,194.6666667,35,124,100,0.836208616,0.146736843,0.862556168,0.144533478
,192,infeas,12030,0.645894226,0.587487531,192.6666667,496.6666667,104.6666667,351.3333333,84,90,100,0.835217395,0.146995283,0.861123519,0.145515057
,193,infeas,10830,0.871124382,0.897251535,260,790,38,88.66666667,40,102,108,0.835403441,0.146634764,0.861310711,0.145158913
*,194,,10790,0.975487619,0.993205719,291,863,7.333333333,6,40,98,109,0.836125525,0.14659979,0.861990582,0.145091712
,195,infeas,10765,0.818095783,0.843254262,245.3333333,734.6666667,54.33333333,137.6666667,40,97,109,0.836033065,0.146227168,0.861894498,0.144723501
,196,infeas,10800,0.880408806,0.935817589,269,835,36.33333333,56.33333333,39,105,107,0.836259471,0.145886183,0.862271657,0.144448478
,197,infeas,10685,0.783678393,0.820419658,240.3333333,715.3333333,67.33333333,157,40,101,106,0.835992562,0.145561764,0.86205921,0.144110368
